name,firmware_variable,min_val,max_val,unit,firmware_type,printf_format,type_cast,xmit_scale,python_variable_override,python_type,python_globals,python_init,should_generate
Valve State Feedback,valve_states,,,ul,uint32_t,%u,uint32_t,1,,int,,0,y
Pressure 0,pressure[0],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*22,y
Pressure 1,pressure[1],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,y
Pressure 2,pressure[2],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*4,y
Pressure 3,pressure[3],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,y
Pressure 4,pressure[4],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,y
Pressure 5,pressure[5],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,y
Pressure 6,pressure[6],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 7,pressure[7],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 8,pressure[8],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 9,pressure[9],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 10,pressure[10],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*4,n
Pressure 11,pressure[11],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*4,n
Pressure 12,pressure[12],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*4,n
Pressure 13,pressure[13],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 14,pressure[14],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 15,pressure[15],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 16,pressure[16],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 17,pressure[17],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*5,n
Pressure 18,pressure[18],-100,10000,psi,float,%.1f,int32_t,10,,float,,0,n
Pressure 19,pressure[19],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*4,n
Pressure 20,pressure[20],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*32,n
Pressure 21,pressure[21],-100,10000,psi,float,%.1f,int32_t,10,,float,,[0]*32,n
ebatt,e_batt,-20,20,Volts,float,%.2f,int16_t,100,,float,,0,y
ibatt,i_batt,-10,150,Amps,float,%.2f,int16_t,100,,float,,0,y
STATE,STATE,0,127,ul,enum States,%u,uint8_t,1,,int,,[0]*8,y
Load 0,load[0],,,kg,float,%.1f,uint16_t,1,,int,,0,n
Load 1,load[1],,,kg,float,%.1f,uint16_t,1,,float,,0,n
Load 2,load[2],,,kg,float,%.1f,uint16_t,1,,float,,0,n
Load 3,load[3],,,kg,float,%.1f,uint16_t,1,,float,,-1,n
Load 4,load[4],,,kg,float,%.1f,uint16_t,1,,float,,-1,n
Load 5,load[5],,,kg,float,%.1f,uint16_t,1,,float,,[0]*2,n
Load 6,load[6],,,kg,float,%.1f,uint16_t,1,,float,,0,n
Load 7,load[7],,,kg,float,%.1f,uint16_t,1,,float,,0,n
ivlv 0,ivlv[0],0,20,Amps,float,%.1f,uint8_t,10,vlv0.i,float,,0,y
ivlv 1,ivlv[1],0,20,Amps,float,%.1f,uint8_t,10,vlv1.i,float,,0,y
ivlv 2,ivlv[2],0,20,Amps,float,%.1f,uint8_t,10,vlv2.i,float,,0,y
ivlv 3,ivlv[3],0,20,Amps,float,%.1f,uint8_t,10,vlv3.i,float,,-1,y
ivlv 4,ivlv[4],0,20,Amps,float,%.1f,uint8_t,10,vlv4.i,float,,0,y
ivlv 5,ivlv[5],0,20,Amps,float,%.1f,uint8_t,10,vlv5.i,float,,0,y
ivlv 6,ivlv[6],0,20,Amps,float,%.1f,uint8_t,10,vlv6.i,float,,0,y
ivlv 7,ivlv[7],0,20,Amps,float,%.1f,uint8_t,10,vlv7.i,float,,0,y
ivlv 8,ivlv[8],0,20,Amps,float,%.1f,uint8_t,10,vlv8.i,float,,[0]*16,y
ivlv 9,ivlv[9],0,20,Amps,float,%.1f,uint8_t,10,,float,,[0]*8,n
ivlv 10,ivlv[10],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 11,ivlv[11],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 12,ivlv[12],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 13,ivlv[13],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 14,ivlv[14],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 15,ivlv[15],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 16,ivlv[16],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 17,ivlv[17],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 18,ivlv[18],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 19,ivlv[19],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 20,ivlv[20],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 21,ivlv[21],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 22,ivlv[22],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 23,ivlv[23],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 24,ivlv[24],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 25,ivlv[25],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 26,ivlv[26],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 27,ivlv[27],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 28,ivlv[28],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 29,ivlv[29],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 30,ivlv[30],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 31,ivlv[31],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
evlv 0,evlv[0],0,15,Volts,float,%.1f,uint8_t,10,vlv0.e,float,,,y
evlv 1,evlv[1],0,15,Volts,float,%.1f,uint8_t,10,vlv1.e,float,,,y
evlv 2,evlv[2],0,15,Volts,float,%.1f,uint8_t,10,vlv2.e,float,,,y
evlv 3,evlv[3],0,15,Volts,float,%.1f,uint8_t,10,vlv3.e,float,,,y
evlv 4,evlv[4],0,15,Volts,float,%.1f,uint8_t,10,vlv4.e,float,,,y
